simulation,A_ind_cond,B_cor_cond,C_ind_uncond,D_cor_uncond
0,5.487658869740488,7.407227202840391,0.24266070366856274,0.29738582547396203
1,4.966484779414247,0.5666995825374211,0.24215261926515758,0.036488412308899626
2,4.417635595206973,1.496319011421658,0.26010139443659613,0.049827464017202436
3,7.329772420411919,1.213451117788592,0.36461458069141445,0.04704855181047648
4,4.4579900421720895,1.1832410753343734,0.2999832656573392,0.046395102307907485
5,5.9575561456266595,10.668434102527403,0.30216181278837545,0.5134623564670231
6,6.45158965429113,14.679856440880453,0.24262656082104983,0.7454281826643973
7,5.6786849843139,1.8089779722002208,0.2743363275362723,0.0542496961525007
8,6.17589008214921,10.887519939055629,0.27433505978336353,0.540975987965821
9,6.162023294177903,13.217473464201936,0.41353738842412946,0.661240564498123
10,6.846087266351882,4.230321034936342,0.31854667461708797,0.13897634047675206
11,5.521525680781649,1.6320463753745547,0.35670353851943865,0.051746770863433905
12,6.6290482008760145,11.018608520103129,0.2723643049757524,0.5548164180024596
13,5.204137815528932,1.462161979913235,0.2673813956842872,0.0493172327705545
14,8.533187102632127,8.748721362798792,0.42768506554521185,0.37276238121718536
15,5.2981018959243595,6.207063006131886,0.22404066204570597,0.2573132808317037
16,5.148488425525745,14.872975063298705,0.13827299412408503,0.7550101880484321
17,5.893732752042323,1.5622769183782632,0.26463132367704173,0.05072365926802326
18,6.578068342102028,10.303036839209845,0.3673839608058227,0.49747376851578723
19,4.40594957798906,4.301918624991244,0.20255733365485215,0.14043777569826296
20,6.715820932004308,1.560546126367968,0.24389783484734875,0.05069613803627139
21,5.922732608922079,1.1477141826442834,0.3992414198184771,0.04562158261736356
22,6.921581525499854,4.019587692309801,0.40454028577480206,0.13475839755001903
23,7.277986093297012,5.329897854004248,0.3280982689526658,0.19524352672436365
24,4.882327724283111,1.2133299367711787,0.24816674660522972,0.04704594202591294
25,5.362706487745414,0.36821727682115,0.1605573223962097,0.0323597473330024
26,6.414544932270077,3.6571872468521054,0.2833264442638565,0.12759334898014307
27,6.929708396485581,8.436298867399172,0.2363916279023385,0.3604427354314898
28,6.773359310588601,14.460731942037517,0.2325988946145998,0.7345173809206856
29,5.85816829436923,6.1224821707721055,0.32836305369360413,0.22668672231638048
30,7.498046916660532,14.393813078993482,0.24687115092854303,0.7311780694158957
31,6.4600003042309355,12.302323044833646,0.19296016649147504,0.6172369635434803
32,5.377118567527099,1.4859796120270576,0.23470962315721844,0.049655940061407645
33,5.9931775437191765,12.35173163697694,0.23589744989542874,0.6196221663970976
34,6.837266900190756,8.495082331980914,0.32812493169868817,0.3627933839661494
35,6.005680196922191,1.8163471410431358,0.28386793897775164,0.054352261161293894
36,5.589187304844052,10.247048948653067,0.27634583777016225,0.49494598586410515
37,6.320397607291199,12.320558822008032,0.2480689163788115,0.6181174262821736
38,5.0640806243385255,1.944296582314895,0.3126584098998748,0.07497532865169898
39,6.172648497425946,4.426897937244825,0.2536821686919305,0.14295172133508305
40,6.5453365951670355,0.6612758113134837,0.29165915948083543,0.03804131116893786
41,6.141667992204951,5.338645010534775,0.17701449858111343,0.19547375401412767
42,4.722342498687485,1.596242727880838,0.18571684142850778,0.051192075055505645
43,4.793897947028131,9.370319447915069,0.25747518746534076,0.3939768128029466
44,4.940389655863485,1.175154486517282,0.15425739524579526,0.046219406079139616
45,5.3378843165298155,2.0278434705315296,0.22849653265964195,0.07671847416872346
46,4.315405379941088,0.3670949101434557,0.14799495922006634,0.03230213241021169
47,2.638358281184741,0.4672249983913046,0.1206231673614556,0.03443208859312273
48,5.121144842663145,4.00546509644289,0.12604809185757304,0.13445982557984637
49,6.1631781050635475,3.623641527552934,0.38247416972843745,0.12685531408949294
50,4.790455324095127,1.009264545908999,0.15696001101568202,0.042629947159812734
51,5.727080298147897,1.6977160679473384,0.2829360340813519,0.05274135658205105
52,4.238151971932596,0.3242305674603335,0.24847179363805977,0.030398628728899594
53,6.110328468886897,2.610335714621623,0.31221844587955333,0.08575690069272389
54,4.953222561324885,5.214505998486352,0.16793497191992865,0.19217598216047269
55,6.286546645098144,3.0515068362602715,0.33218925045291303,0.09173927476603522
56,6.724886882080843,11.344594435445229,0.2838667362437559,0.5707821185553014
57,5.500106006572961,5.943404358150591,0.21600577110368221,0.22171823205412397
58,4.280197901888216,1.7435948903357261,0.2317041202870019,0.053416481649279327
59,5.1412975695805,10.638226945589782,0.15874155149295918,0.5121234144966957
60,6.0721319453753475,4.041734668961171,0.23355979824931458,0.13522566549160178
61,4.406063912962451,9.218732942846305,0.20922177768564873,0.3885198148936279
62,6.261293734783778,5.0385068224177285,0.27503873740126883,0.16917705414034603
63,4.982596311448543,3.2375169370145875,0.13761356379249678,0.09303990892062519
64,6.400198538950488,2.743071650830708,0.24177964199467547,0.0877257567972193
65,4.260149133617495,0.4315413909848196,0.2999449717250126,0.03328584022173756
66,7.260905312260833,3.635955869491114,0.3414516636175792,0.12712650849010973
67,5.434948837710794,6.084830525006714,0.33699418226112704,0.22559412842060844
68,5.777975370654321,15.84976145560404,0.23290130123437752,0.8023963412112384
69,5.509333143712731,3.1901981710825686,0.21185359707202325,0.0927689872977663
70,7.773111810550968,3.86145878649651,0.44773734526899883,0.13145165326581362
71,6.671992476362558,4.315135688766029,0.3426016086226755,0.1407059169074678
72,6.007809599692918,2.8692167136462077,0.32198052625505896,0.08933424612929106
73,5.689929195104083,5.263441747821937,0.36206674810786205,0.19348378575112937
74,5.577289471004232,0.6316582378677145,0.2576987009318471,0.03794297347936535
75,5.536697712223251,3.895984975529644,0.28442653139852236,0.13219235815314834
76,6.283406676206921,5.825771591391686,0.3341414294694749,0.21613863305924713
77,6.156372812551604,8.806348441415302,0.31081556310284847,0.37498539536031467
78,4.333269321434954,3.0770513720338672,0.20410131117441674,0.09206424842722859
79,7.153298932565659,1.9650803512423038,0.27619070232274096,0.07541577903903761
80,4.13111937207326,0.3382603628546161,0.22415625347303395,0.030966278565432916
81,4.7347084036825136,9.161633560510056,0.10011643128097794,0.38643397235142585
